tag,x_LiCl,split,k2cut_cycles2_per_A2,k_max_cycles_per_A,n_Li,n_Cl,n_Na,box_L,n_fit_points,fit_converged,fit_status,fit_nfev,fit_cost,fit_rmse,n_starts,n_starts_converged,best_start_factor,n_basins,selection_rule,alt_S0_NN,alt_cost,kappa_calculated,kappa_used,S0_LiLi,S0_LiCl,S0_LiNa,S0_ClCl,S0_ClNa,S0_NaNa,S0_NN,S0_ZZ
li160,0.05,0,0.02,0.1414213562373095,160,3200,3040,58.23133182188903,364,1,2,30,524.4866217199543,0.8266646251400449,4,4,0.5,1,lowest-cost,,,7.531104378638589,5.04338109674377,0.9466024134838464,0.0515944525141021,-0.1642306960058873,0.054727750154071,0.0443129077292292,0.0831411896963998,0.109455500308142,8.802744414017071e-18
li160,0.05,1,0.02,0.1414213562373095,160,3200,3040,58.21805745136067,364,1,2,56,577.6000182375183,0.8813960958127565,4,4,0.3,1,lowest-cost,,,7.533680289948036,4.634640753354817,0.948071060787286,0.0530112635896158,-0.1631140093123313,0.0542638726834197,0.043511940733676,0.082063229400922,0.1085277453668394,9.689479519730752e-18
li160,0.05,2,0.02,0.1414213562373095,160,3200,3040,58.244901785861714,364,1,2,35,595.6379977427439,0.8781975644386671,4,4,0.3,1,lowest-cost,,,7.528472623946451,5.121943076807659,0.9037146710458897,0.0497227232184926,-0.1563119268386907,0.0548532704718378,0.0448710930079641,0.0818971854689905,0.1097065409436756,6.33778844544759e-18
li160,0.05,3,0.02,0.1414213562373095,160,3200,3040,58.22789639284036,364,1,2,57,586.2633513714388,0.8745432535838106,4,4,0.75,1,lowest-cost,,,7.531770887940023,5.1201667100686885,0.8864457887110643,0.047024068213255,-0.1551189351398424,0.0545375977132862,0.0451663335098372,0.0819264047664783,0.1090751954265726,-8.145058976456349e-18
li160,0.05,4,0.02,0.1414213562373095,160,3200,3040,58.235064097658366,364,1,2,46,585.3743322218908,0.8766901023364729,4,4,0.5,1,lowest-cost,,,7.530380389360197,4.67951331969146,0.8891253782659071,0.0497481580386584,-0.1529388179540393,0.0531845113159893,0.0431531470912855,0.0793607658982275,0.1063690226319787,-1.3446380374563745e-18
li320,0.1,0,0.02,0.1414213562373095,320,3200,2880,58.02987134561754,364,1,2,93,547.0701664743632,0.8367633311034841,4,4,0.3,1,lowest-cost,,,7.5703566438926355,4.608536268722288,0.8913348601433044,0.0745362353575706,-0.2185435293996687,0.0574291753429012,0.0356902542903929,0.1104686744093017,0.1148583506858023,-3.3520556702732686e-16
li320,0.1,1,0.02,0.1414213562373095,320,3200,2880,58.042147214990045,364,1,2,45,618.8005772311321,0.8946815577341677,4,4,1.0,1,lowest-cost,,,7.567955083998225,4.562974737309657,0.8692875272104459,0.0707263894860261,-0.2152103485848329,0.0562055035026816,0.0356703395397062,0.1093366221471114,0.1124110070053275,-1.006914867897555e-13
li320,0.1,2,0.02,0.1414213562373095,320,3200,2880,58.01680259074246,364,1,2,37,620.8114649096058,0.8926022631339492,4,4,0.5,1,lowest-cost,,,7.572914714196941,5.4238753087856475,0.8846795410483752,0.0731289450093013,-0.2178085039779265,0.0562626852593347,0.0349297625624592,0.1094220372680591,0.1125253705186695,-6.998478226846403e-18
li320,0.1,3,0.02,0.1414213562373095,320,3200,2880,58.031268603442086,364,1,2,108,613.950855271879,0.9007764978594378,4,4,0.5,1,lowest-cost,,,7.57008323069736,4.854517365348687,0.8343952125223959,0.0692015806845233,-0.2051868666251292,0.0569771892154,0.0369920373035076,0.1073886532647088,0.1139543784307999,3.221406377031153e-17
li320,0.1,4,0.02,0.1414213562373095,320,3200,2880,58.0312783748312,364,1,2,25,627.6049120682767,0.899018471075022,4,4,1.0,1,lowest-cost,,,7.570081318705386,4.652179427833524,0.8949757175968733,0.0763859010158699,-0.2178074297541848,0.0572347753359712,0.034868783471276,0.1093574015875498,0.1144695506719425,-3.1646310253500498e-18
li480,0.15,0,0.02,0.1414213562373095,480,3200,2720,57.83415285511007,361,1,2,439,529.7599966549977,0.8428748619525591,4,4,0.5,1,lowest-cost,,,7.608817783073333,5.54787147321514,0.8564406277131991,0.0873348738553403,-0.2650490553969041,0.0584302979154451,0.0266885710361704,0.1402906937358273,0.1168605958308902,7.705206306531418e-18
li480,0.15,1,0.02,0.1414213562373095,480,3200,2720,57.82173780995633,361,1,2,48,607.3987151576014,0.8998769862840115,4,4,1.0,1,lowest-cost,,,7.61126847610969,5.912717488910746,0.8015554657495737,0.0811703211648897,-0.2486790718219426,0.0569112623096768,0.0276305756969734,0.1344356726547386,0.1138225246193537,1.2519610574004198e-17
li480,0.15,2,0.02,0.1414213562373095,480,3200,2720,57.837499710409894,361,1,2,30,604.050703140927,0.9085451343740956,4,4,0.5,1,lowest-cost,,,7.608157348826219,5.322846583645263,0.8132546140918354,0.0835131302989875,-0.2510525638588622,0.0583663734581354,0.0282246886436873,0.1360771447110411,0.1167327469162708,9.22864076955894e-18
li480,0.15,3,0.02,0.1414213562373095,480,3200,2720,57.83483959017603,361,1,2,48,619.091430216492,0.9126938268272428,4,4,0.75,1,lowest-cost,,,7.608682261997078,4.9389240885908166,0.8084283275876222,0.0875979837652903,-0.2445944723345274,0.0577819949829957,0.0258748595064193,0.1308154560756183,0.1155639899659915,-2.3121531272596066e-17
li480,0.15,4,0.02,0.1414213562373095,480,3200,2720,57.843556480432206,361,1,2,32,619.4758804083054,0.9160048021419532,4,4,1.0,1,lowest-cost,,,7.606962410551445,5.319190841113917,0.8413400123944537,0.0872023575855497,-0.2588492622060523,0.0588973478695403,0.02725082580602,0.1382961105799256,0.1177946957390808,-9.596075926622476e-18
li640,0.2,0,0.02,0.1414213562373095,640,3200,2560,57.64203885135636,361,1,2,48,518.0204606958453,0.834661850069589,4,4,1.0,1,lowest-cost,,,7.6468883762459505,5.129942218473846,0.7966510883615722,0.0961084393960107,-0.2908730423303366,0.0607524631459254,0.0198690989994146,0.1676508491723504,0.1215049262918509,-7.76789728294263e-18
li640,0.2,1,0.02,0.1414213562373095,640,3200,2560,57.6292494591519,361,1,2,65,523.4172724848676,0.921492946751582,4,4,0.5,1,lowest-cost,,,7.649434075209432,6.8715386493875075,0.7771243434041978,0.0920479578238428,-0.2856494262600257,0.0592738604467007,0.020246211711908,0.1654606659673523,0.1185477208934015,1.6174258615434994e-17
li640,0.2,2,0.02,0.1414213562373095,640,3200,2560,57.64454794952201,361,1,2,86,618.0266986770748,0.8969959477536185,4,4,0.3,1,lowest-cost,,,7.646389111731982,4.927030298077714,0.7635134588590392,0.0931033212912186,-0.2776640517604353,0.0604346690636079,0.0210163534663561,0.1623290233751855,0.1208693381272159,-8.267045095571206e-18
